Minute,Team,Shot Result,xG,xGoT,Player
9,Sheffield United,Miss,0.02,0,Hamer
11,Sheffield United,Saved,0.02,0.05,de Souza Costa
12,West Ham United,Saved,0.07,0.07,Ings
13,West Ham United,Saved,0.01,0.24,Zouma
14,West Ham United,Miss,0.06,0,Bowen
17,Sheffield United,Blocked,0.07,0,Hamer
17,Sheffield United,Blocked,0.02,0,Hamer
17,Sheffield United,Blocked,0.08,0,Brooks
23,Sheffield United,Saved,0.04,0.06,Diaz
27,Sheffield United,Blocked,0.03,0,McAtee
27,Sheffield United,Saved,0.05,0.02,Trusty
28,West Ham United,Blocked,0.15,0,Ings
28,West Ham United,Goal,0.21,0.83,Cornet
37,Sheffield United,Miss,0.02,0,Osula
40,West Ham United,Blocked,0.09,0,Ings
41,West Ham United,Miss,0.22,0,Bowen
44,Sheffield United,Saved,0.37,0.17,Osula
44,Sheffield United,Goal,0.28,0.87,Diaz
45,Sheffield United,Blocked,0.03,0,Osula
51,Sheffield United,Blocked,0.02,0,Diaz
52,Sheffield United,Miss,0.04,0,Trusty
57,Sheffield United,Miss,0.03,0,McBurnie
58,Sheffield United,Miss,0.25,0,Diaz
60,West Ham United,Blocked,0.08,0,Cornet
61,Sheffield United,Blocked,0.07,0,Brooks
64,West Ham United,Blocked,0.02,0,Bowen
69,West Ham United,Miss,0.03,0,Mavropanos
70,Sheffield United,Miss,0.04,0,McAtee
73,West Ham United,Saved,0.05,0.34,Ings
74,Sheffield United,Blocked,0.03,0,Archer
79,West Ham United,Penalty Scored,0.79,0.94,Ward-Prowse
84,West Ham United,Miss,0.05,0,Bowen
86,Sheffield United,Blocked,0.02,0,McAtee
89,West Ham United,Miss,0.06,0,Johnson
95,West Ham United,Blocked,0.22,0,Ings
95,West Ham United,Blocked,0.15,0,Ings
98,Sheffield United,Penalty Scored,0.79,0.99,McBurnie
